insert into item values (id, type_id, x, y, player)
insert into item values (59, 16, -11, -7, NULL);
insert into item values (60, 60, -11, -7, NULL);
insert into item values (61, 17, -11, -7, NULL);
insert into item values (62, 41, -11, -7, NULL);
insert into item values (63, 35, -11, -7, NULL);
insert into item values (64, 56, -11, -7, NULL);
insert into item values (65, 72, -11, -7, NULL);



#10
insert into item values (66, 2, -8, -6, NULL);
insert into item values (67, 2, -8, -6, NULL);
insert into item values (68, 2, -8, -6, NULL);
insert into item values (69, 12, -8, -6, NULL);
insert into item values (70, 13, -8, -6, NULL);
insert into item values (71, 6, -8, -6, NULL);
insert into item values (72, 20, -8, -6, NULL);
insert into item values (73, 48, -8, -6, NULL);

#11
insert into item values (74, 63, -1, -2, NULL);
insert into item values (75, 64, -1, -2, NULL);
insert into item values (76, 17, -1, -2, NULL);
insert into item values (77, 34, -1, -2, NULL);
insert into item values (78, 34, -1, -2, NULL);
insert into item values (79, 29, -1, -2, NULL);
insert into item values (80, 59, -1, -2, NULL);
insert into item values (81, 68, -1, -2, NULL);



#12
insert into item values (82, 41, 0, 7, NULL);
insert into item values (83, 4, 0, 7, NULL);
insert into item values (84, 2, 0, 7, NULL);
insert into item values (85, 1, 0, 7, NULL);
insert into item values (86, 5, 0, 7, NULL);
insert into item values (87, 74, 0, 7, NULL);



#13
insert into item values (83, 28, 2, 8, NULL);
insert into item values (84, 41, 2, 8, NULL);
insert into item values (85, 21, 2, 8, NULL);
insert into item values (86, 19, 2, 8, NULL);
insert into item values (87, 25, 2, 8, NULL);
insert into item values (88, 4, 2, 8, NULL);
insert into item values (89, 1, 2, 8, NULL);
insert into item values (90, 2, 2, 8, NULL);
insert into item values (91, 5, 2, 8, NULL);
insert into item values (92, 40, 2, 8, NULL);
insert into item values (93, 50, 2, 8, NULL);
insert into item values (94, 55, 2, 8, NULL);



#14
insert into item values (95, 41, 2, 6, NULL);
insert into item values (96, 17, 2, 6, NULL);
insert into item values (97, 1, 2, 6, NULL);
insert into item values (98, 2, 2, 6, NULL);
insert into item values (99, 6, 2, 6, NULL);
insert into item values (100, 9, 2, 6, NULL);
insert into item values (101, 12, 2, 6, NULL);
insert into item values (102, 64, 2, 6, NULL);


#15
insert into item values (103, 19, 12, 8, NULL);
insert into item values (104, 17, 12, 8, NULL);
insert into item values (105, 60, 12, 8, NULL);
insert into item values (106, 45, 12, 8, NULL);
insert into item values (107, 24, 12, 8, NULL);
insert into item values (108, 41, 12, 8, NULL);
insert into item values (109, 33, 12, 8, NULL);
insert into item values (110, 32, 12, 8, NULL);
insert into item values (111, 22, 12, 8, NULL);
insert into item values (112, 48, 12, 8, NULL);
insert into item values (113, 63, 12, 8, NULL);
insert into item values (114, 36, 12, 8, NULL);
insert into item values (115, 37, 12, 8, NULL);
insert into item values (116, 37, 12, 8, NULL);
insert into item values (117, 37, 12, 8, NULL);
insert into item values (118, 37, 12, 8, NULL);
insert into item values (119, 37, 12, 8, NULL);
insert into item values (120, 46, 12, 8, NULL);
insert into item values (121, 51, 12, 8, NULL);
insert into item values (122, 50, 12, 8, NULL);



#16
insert into item values (123, 25, 10, -1, NULL);
insert into item values (124, 4, 10, -1, NULL);
insert into item values (125, 14, 10, -1, NULL);
insert into item values (126, 45, 10, -1, NULL);


#17
insert into item values (127, 24, 11, -2, NULL);
insert into item values (128, 17, 11, -2, NULL);
insert into item values (129, 66, 11, -2, NULL);
insert into item values (130, 5, 11, -2, NULL);
insert into item values (131, 12, 11, -2, NULL);
insert into item values (132, 2, 11, -2, NULL);
insert into item values (133, 41, 11, -2, NULL);
insert into item values (134, 27, 11, -2, NULL);




